,序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201909),净利润(201909),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
12,93,421,南京公用,南京公用发展股份有限公司,南京市,建邺区,26.16亿,1.42亿,2617,1996-08-06,--,,燃气,主营业务:客运业务、燃气业务及房地产业务,客运业务、燃气业务及房地产业务
13,94,422,ST宜化,湖北宜化化工股份有限公司,宜昌市,猇亭区,105.07亿,1.04亿,8442,1996-08-15,--,,氮肥,主营业务:化肥产品(尿素、磷酸二铵等)、化工产品(聚氯乙烯、烧碱等)的生产、销售。,化肥产品(尿素、磷酸二铵等)、化工产品(聚氯乙烯、烧碱等)的生产、销售。
14,95,423,东阿阿胶,东阿阿胶股份有限公司,聊城市,东阿县,28.30亿,2.07亿,4836,1996-07-29,--,,中药生产,主营业务:从事阿胶及阿胶系列产品的研发、生产和销售业务,从事阿胶及阿胶系列产品的研发、生产和销售业务
15,96,425,徐工机械,徐工集团工程机械股份有限公司,徐州市,鼓楼区,432.39亿,30.34亿,14318,1996-08-28,--,,工程机械,主营业务:主要从事工程起重机械、铲运机械、压实机械、混凝土机械、路面机械、消防机械、其他工程机械及工程机械备件的研发、制造和销售。,主要从事工程起重机械、铲运机械、压实机械、混凝土机械、路面机械、消防机械、其他工程机械及工程机械备件的研发、制造和销售。
16,97,426,兴业矿业,内蒙古兴业矿业股份有限公司,赤峰市,松山区,5.64亿,-1.03亿,378,1996-08-28,--,,铅锌,主营业务:有色金属采选及冶炼,有色金属采选及冶炼
17,98,428,华天酒店,华天酒店集团股份有限公司,长沙市,芙蓉区,8.82亿,-2.20亿,4818,1996-08-08,--,,酒店,主营业务:住宿、餐饮。,住宿、餐饮。
18,99,429,粤高速A,广东省高速公路发展股份有限公司,广州市,越秀区,22.81亿,12.74亿,2197,1998-02-20,--,,高速公路,主营业务:广佛高速公路和佛开高速公路的收费和养护工作，投资科技产业及提供相关咨询,广佛高速公路和佛开高速公路的收费和养护工作，投资科技产业及提供相关咨询
19,100,430,张家界,张家界旅游集团股份有限公司,张家界市,永定区,3.24亿,3994.95万,1139,1996-08-29,--,,景区,主营业务:旅游项目经营；旅游客运；旅行社经营；其他:酒店经营、房屋租赁、广告代理等,旅游项目经营；旅游客运；旅行社经营；其他：酒店经营、房屋租赁、广告代理等
0,101,488,晨鸣纸业,山东晨鸣纸业集团股份有限公司,潍坊市,寿光市,220.14亿,11.18亿,14311,2000-11-20,--,,造纸,主营业务:机制纸及板纸和造纸原料、造纸机械、电力、热力的生产与销售,机制纸及板纸和造纸原料、造纸机械、电力、热力的生产与销售
1,102,498,山东路桥,山东高速路桥集团股份有限公司,济南市,市中区,157.68亿,5.10亿,8703,1997-06-09,--,,路桥建设,主营业务:路桥工程施工与养护施工,路桥工程施工与养护施工
2,103,501,鄂武商A,武汉武商集团股份有限公司,武汉市,江汉区,128.81亿,8.18亿,9118,1992-11-20,--,,百货,主营业务:商业零售及批发业务,商业零售及批发业务
