日期,体重lb,体脂率%,数据源
2016-11-26,168.4,20.7,omron
2016-11-27,170.8,20.0,omron
2016-11-28,169.0,20.3,omron
2016-11-29,167.8,20.6,omron
2016-11-30,167.8,20.8,omron
2016-12-01,169.4,19.9,omron
2016-12-03,168.4,20.9,omron
2016-12-05,168.8,20.6,omron
2016-12-06,171.0,19.5,omron
2016-12-07,173.2,18.4,omron
2016-12-08,173.0,19.0,omron
2016-12-09,171.8,20.1,omron
2016-12-10,169.2,21.4,omron
2016-12-11,171.0,22.2,omron
2016-12-12,168.2,21.8,omron
2016-12-13,168.8,21.4,omron
2016-12-14,170.6,20.2,omron
2016-12-15,171.2,19.8,omron
2016-12-16,171.6,21.4,omron
2016-12-17,171.2,19.7,omron
